name,description,quantity,price
Agnese,Kalinda,697,625.5
Ardeen,Zola,19,372.64
Ardeen,Buffum,967,551.69
Emma,Rozanna,905,594.8
Aurelie,Alarise,625,621.23
Korrie,Presber,858,33.87
Agnese,Iphlgenia,778,615.44
Hope,Milde,143,236.05
Mara,Candy,298,181.31
Tybie,Daniele,740,857.7
Jean,Fancie,378,162.11
Shaine,Orelee,921,140.04
Glynnis,Haerr,100,442.32
Elyssa,Kalinda,130,95.88
Ninnetta,Roscoe,440,173.84
Nataline,Ferino,144,965.4
Norine,Beebe,206,751.94
Vinita,Uird,398,411.34
Shannah,Friede,609,561.04
Doro,Randene,683,890.28
Joelly,Lay,8,683.59
Meghann,Camden,982,634.43
Leeanne,Holtz,933,260.68
Gale,Ciapas,816,822.97
Brynna,Melleta,474,965.22
Emmey,Ortrude,757,753.7
Suzette,Craggie,93,428.09
Mariann,Zrike,439,810.93
Dolli,Wyn,984,532.7
Juliane,Dosia,249,278.98
Liana,Concha,837,214.06
Mathilda,Mott,7,745.76
Carmela,Dichy,418,98.33
Lacie,Atonsah,790,968.77
Alameda,Damarra,302,875.13
Phylis,Roscoe,69,11.31
Daryl,Voletta,858,909.34
Brena,Kress,73,912.53
Margalo,Ade,560,893.57
Valeda,Sherfield,706,257.29
Meghann,Fry,328,182.92
Kirstin,Gualtiero,189,889.22
Mary,Fink,95,476.82
Marcelline,Tengdin,602,879.45
Lelah,Kenwood,567,591.22
Ivett,Kussell,937,186.34
Kayla,Ajay,653,31.77
Riannon,Ezar,199,523.32
Nonnah,Kat,552,833.91
Jacenta,Lutero,77,707.38
